	features
0	00
1	0000
2	00000
3	0001
4	000z
5	00103
6	00306
7	00911
8	01
9	01001
10	01008
11	01017
12	01109
13	01438
14	01791
15	01t10
16	02
17	03
18	06
19	098
20	0x
21	100
22	1012
23	1032
24	106
25	1073741510
26	1073741819
27	11
28	12
29	1252
30	128
31	130
32	1312191422
33	14
34	16
35	17
36	1908
37	1px
38	20
39	200
40	20so
41	20x
42	210
43	2146827286
44	22
45	223
46	23
47	236
48	255255
49	26
50	2690
51	2d
52	30
53	301
54	302
55	304
56	30mb
57	30px
58	32
59	332
60	333e
61	3398
62	358
63	3d
64	3rd
65	400
66	401
67	404
68	405
69	412
70	4238
71	45
72	46
73	47
74	500
75	502
76	505
77	512
78	535
79	5554
80	568h2xpng
81	578
82	64
83	65096
84	6859103
85	6859104
86	7163
87	8601
88	8859
89	8bit
90	90686
91	9999999999996
92	a0bb9
93	a0bc59e
94	a10
95	a4j
96	a8
97	aaaaaaaaa
98	aac
99	aapt
100	aar
101	ab
102	abandom
103	abandon
104	abap
105	abbrev
106	abbrevation
107	abbreviation
108	abc
109	abcast
110	abcbase
111	abcd
112	abcpdf
113	abi
114	ability
115	able
116	abline
117	abnormal
118	abnormally
119	abort
120	aborted
121	abortion
122	abrecordid
123	abrecordref
124	absence
125	absent
126	absolute
127	absolutelayout
128	absolutely
129	abstract
130	abstractcontroller
131	abstraction
132	abstractlistremove
133	abstractuser
134	abuse
135	ac
136	acaccountstore
137	academic
138	acallcall
139	acccess
140	accelerate
141	acceleration
142	accelerator
143	accelerometer
144	accent
145	accept
146	acceptable
147	accepts
148	access
149	accessability
150	accessdenied
151	accessed
152	accessibility
153	accessible
154	accessing
155	accesskey
156	accesslog
157	accessor
158	accessory
159	accidental
160	accidentally
161	accomplish
162	accord
163	accordingly
164	accordion
165	account
166	accountcontroller
167	accounting
168	accountmanagement
169	accountmanager
170	accumarray
171	accumulate
172	accumulator
173	accuracy
174	accurate
175	accurately
176	ace
177	achartengine
178	achieve
179	achievement
180	achor
181	ack
182	ackermann
183	acknowledge
184	acl
185	acls
186	acm
187	acpu
188	acquire
189	acrobat
190	acrofield
191	acrylic
192	acs50001
193	acse
194	act
195	action
196	actionbar
197	actionbarcompat
198	actionbarsherlock
199	actionbarsize
200	actioncable
201	actioncontroller
202	actiondown
203	actionfilter
204	actionlink
205	actionlistener
206	actionmailer
207	actionmode
208	actionname
209	actionparam
210	actionresult
211	actionscript
212	actionsend
213	actionsherlockbar
214	actionstring
215	actionview
216	activate
217	activation
218	activator
219	active
220	activeadmin
221	activedirectory
222	actively
223	activemq
224	activeperl
225	activepython
226	activerecord
227	activeresource
228	activesupport
229	activex
230	activity
231	activitycompat
232	activitygroup
233	activitymanager
234	actor
235	actsasinviteable
236	actual
237	actually
238	acyclical
239	ad
240	ada
241	adaboost
242	adal
243	adapt
244	adapter
245	adapterview
246	adaptive
247	adb
248	adc
249	add
250	add23
251	addaction
252	addattribute
253	addclass
254	adde
255	added
256	addentity
257	adder
258	addeventlistener
259	addfilelog
260	addfooterview
261	addin
262	addins
263	additemdecoration
264	addition
265	additional
266	addjoin
267	addmvc
268	addobject
269	addon
270	addons
271	addref
272	address
273	address0x4
274	addressbar
275	addressbook
276	addsubview
277	addtarget
278	addtions
279	addtoset
280	addttffont
281	addviewview
282	adempiere
283	adjacency
284	adjacent
285	adjust
286	adjustable
287	adjustment
288	adk
289	admin
290	administration
291	administrative
292	administrator
293	adminpy
294	admins
295	admob
296	ado
297	adobe
298	adodb
299	adodbconnection
300	adodbdll
301	adodbrecordset
302	adonet
303	adopt
304	adorn
305	adorner
306	adornment
307	adotable
308	adsupport
309	adt
310	adts
311	adult
312	aduser
313	advance
314	advanced
315	advantage
316	advantageaous
317	adventure
318	advertisement
319	advertising
320	advice
321	adview
322	advisable
323	advisor
324	adwhirl
325	adwords
326	aec
327	aem
328	aero
329	aes
330	aes128
331	aes256
332	aeson
333	aesstring
334	aesthetic
335	aether
336	affect
337	affine
338	affinity
339	affix
340	afinet
341	afnetworking
342	aforgenet
343	aforgevideoffmpeg
344	afteradd
345	aftercd
346	aftercommit
347	afterdelay
348	agda
349	age
350	agent
351	aggregate
352	aggregateexception
353	aggregation
354	aggregator
355	aggressive
356	agi
357	agile
358	agility
359	agnostic
360	agreement
361	agregation
362	ahref
363	aidl
364	aint
365	aiohttp
366	air
367	airbrake
368	airplane
369	airplay
370	airship
371	aix
372	ajax
373	ajaxactionlink
374	ajaxbeginform
375	ajaxcontroltoolkit
376	ajaxfileupload
377	ajaxstart
378	ajaxstop
379	ajaxsubmit
380	aka
381	akamai
382	akka
383	al16utf16
384	ala
385	alamofire
386	alarm
387	alarmmanager
388	alasset
389	alassetslibrary
390	album
391	alchemy
392	alembic
393	alert
394	alertdialog
395	alertdialogbuilder
396	alexa
397	alexandrescu
398	alfresco
399	algebra
400	algebraic
401	alglib
402	algorithm
403	algorithmic
404	alias
405	aliased
406	aliasing
407	aliasmethod
408	align
409	aligncenter
410	aligned
411	alignment
412	alignmentspan
413	aligns
414	alihack
415	alive
416	allauth
417	allday
418	allobjects
419	alloc
420	allocate
421	allocated
